ID,Category,Error Type,Message,Affected Items,Status,Priority
1,Format String Errors,format_string,invalid reference to positional argument 1 (no arguments were given),,TODO,1
2,Format String Errors,format_string,invalid reference to positional argument 0 (no arguments were given),,TODO,1
3,Format String Errors,format_string,invalid reference to positional argument 1 (no arguments were given),,TODO,1
4,Format String Errors,format_string,invalid reference to positional argument 10 (no arguments were given),,TODO,1
5,Format String Errors,format_string,invalid reference to positional argument 100 (no arguments were given),,TODO,1
6,Format String Errors,format_string,invalid reference to positional argument 1 (no arguments were given),,TODO,1
7,Format String Errors,format_string,invalid reference to positional argument 10 (no arguments were given),,TODO,1
8,Unresolved Imports,unresolved_import,unresolved import `common`,common,TODO,3
9,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
10,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
11,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
12,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
13,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
14,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
15,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
16,Missing Type Definitions,missing_type,cannot find type `SearchQuery` in module `midi_pipeline::db::models`,SearchQuery,TODO,2
17,Missing Type/Value Definitions,unknown,cannot find value `tags` in this scope,tags,TODO,9
18,Missing Type/Value Definitions,unknown,cannot find value `tags` in this scope,tags,TODO,9
19,Missing Type/Value Definitions,unknown,"cannot find struct, variant or union type `SearchFilters` in this scope",SearchFilters,TODO,9
20,Missing Type/Value Definitions,unknown,"cannot find struct, variant or union type `SearchFilters` in this scope",SearchFilters,TODO,9
21,Format String Errors,unknown,"1 positional argument in format string, but no arguments were given",,TODO,1
